[{] : Inicio
[==] : OperadorRelacional
[==] : OperadorRelacional
[=] : Asignacion
[++] : IncrementoTermino
[+] : OperadorTermino
[--] : IncrementoTermino
[-] : OperadorTermino
[+=] : IncrementoTermino
[-=] : IncrementoTermino
[*] : OperadorFactor
[/] : OperadorFactor
[%] : OperadorFactor
[||] : OperadorLogico
[&&] : OperadorLogico
[!] : OperadorLogico
[|] : Caracter
[&] : Caracter
[|] : Caracter
[&] : Caracter
[!] : OperadorLogico
[!] : OperadorLogico
[!] : OperadorLogico
[!] : OperadorLogico
[1245] : Numero
[=] : Asignacion
[678910111213] : Numero
[;] : FinSentencia
[#] : Caracter
[radioDeLaCircunferencia] : Identificador
[=] : Asignacion
[45] : Numero
[;] : FinSentencia
[}] : Fin
[>] : OperadorRelacional
[,] : Caracter
[>=] : OperadorRelacional
[<] : OperadorRelacional
[,] : Caracter
[<=] : OperadorRelacional
[,] : Caracter
[!] : OperadorLogico
[,] : Caracter
[!=] : OperadorRelacional
[-] : OperadorTermino
[+] : OperadorTermino
[+] : OperadorTermino
[-] : OperadorTermino
